PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
59.35,135.66,29.9,46.31,61.42,20.89,1.53,17.2,41.29,1.81,10.67,154.0,Moderate
97.96,,8.54,18.91,27.45,38.4,0.93,3.2,6.92,0.0,0.51,134.0,Moderate
11.62,,10.22,7.29,17.51,,1.2,8.89,11.86,0.13,1.22,127.0,Moderate
39.87,107.99,7.35,24.58,19.98,32.62,0.88,12.08,51.4,1.99,19.29,126.0,Moderate
23.56,0.18,173.27,8.82,109.46,27.34,2.67,8.77,10.93,,,117.0,Moderate
44.72,98.2,16.8,26.97,43.77,6.84,0.0,,4.54,9.18,2.46,122.0,Moderate
60.23,94.97,7.88,51.87,59.75,6.38,1.52,4.28,23.9,3.81,9.03,103.0,Moderate
28.89,55.96,5.56,4.84,17.01,14.76,1.97,,80.29,0.0,,136.0,Moderate
52.49,129.76,10.08,25.97,29.28,20.04,0.81,14.74,81.83,0.75,4.12,194.0,Moderate
74.16,128.7,18.61,11.48,27.36,12.04,0.46,8.99,39.2,1.85,1.76,121.0,Moderate
38.05,,7.15,21.92,17.4,11.18,1.36,5.58,37.16,0.62,1.44,103.0,Moderate
82.53,145.06,5.44,67.17,40.16,21.34,1.01,28.57,24.03,0.09,0.19,153.0,Moderate
45.98,120.86,3.63,22.73,12.1,23.84,0.77,2.12,49.65,0.62,0.32,135.0,Moderate
51.45,115.44,16.52,9.43,17.31,19.86,0.68,16.63,27.17,4.76,1.81,104.0,Moderate
41.72,102.34,9.1,39.72,44.5,19.97,0.78,9.02,50.35,0.44,1.53,115.0,Moderate
91.06,147.47,69.15,51.91,108.15,15.54,2.01,5.49,33.31,4.65,10.25,188.0,Moderate
70.99,219.74,10.84,45.1,13.09,23.76,0.25,22.43,56.8,0.26,1.54,191.0,Moderate
48.43,112.21,32.31,16.22,34.89,45.63,0.87,8.97,11.01,7.08,0.42,113.0,Moderate
34.93,,3.19,16.37,4.22,,2.44,8.87,25.91,3.1,2.97,110.0,Moderate
66.21,133.21,6.97,45.66,30.04,19.36,1.11,12.89,44.59,,,104.0,Moderate
70.57,112.72,7.54,24.24,6.39,55.41,0.49,4.57,,,,111.0,Moderate
65.16,100.91,8.31,22.49,4.41,55.14,0.51,4.53,,,,124.0,Moderate
61.13,103.62,16.39,36.49,52.87,11.19,1.61,2.22,25.03,2.23,7.78,113.0,Moderate
55.69,,9.09,26.34,12.34,,1.1,43.59,56.73,1.35,14.22,116.0,Moderate
62.4,99.49,10.64,48.15,44.5,24.59,0.98,5.05,69.72,0.39,1.42,113.0,Moderate
61.97,115.41,7.3,32.04,22.23,14.62,0.7,5.92,23.4,5.02,24.32,127.0,Moderate
58.48,165.04,32.94,60.63,67.04,21.77,0.91,10.86,24.24,1.57,4.32,182.0,Moderate
81.39,277.24,9.54,9.62,11.8,,0.53,7.01,23.4,1.99,6.0,129.0,Moderate
69.97,,6.35,13.38,11.75,,0.1,2.81,46.92,0.28,0.02,146.0,Moderate
68.36,,10.02,12.18,22.19,,1.27,2.76,9.18,0.14,0.67,166.0,Moderate
53.43,87.57,25.21,10.07,35.27,1.73,2.82,4.37,19.16,2.59,5.31,127.0,Moderate
45.87,98.28,5.3,8.87,12.6,10.49,0.88,7.81,27.92,1.33,7.7,104.0,Moderate
42.05,87.03,,,0.0,,0.38,,79.3,0.08,,133.0,Moderate
84.63,158.85,17.16,10.25,27.34,13.06,0.8,11.04,27.87,2.16,2.65,160.0,Moderate
53.93,114.83,9.14,9.79,,6.29,0.0,10.3,21.49,,,126.0,Moderate
70.6,145.59,22.81,22.61,17.64,43.44,0.39,4.98,41.49,0.0,,112.0,Moderate
35.81,110.95,2.05,5.26,2.91,2.68,1.04,3.35,42.12,,,105.0,Moderate
50.39,159.08,20.49,61.21,49.22,9.92,0.84,25.54,16.02,2.48,5.05,131.0,Moderate
42.88,,14.84,17.22,32.06,,0.87,8.13,32.93,,,105.0,Moderate
57.31,175.25,31.74,26.18,58.62,15.28,0.02,5.98,21.27,14.68,2.54,138.0,Moderate
56.65,95.79,18.38,60.92,14.28,31.24,0.47,34.23,40.88,0.05,1.14,117.0,Moderate
41.12,150.77,90.27,38.66,128.94,,2.35,17.55,70.34,2.53,,159.0,Moderate
,202.58,8.32,8.29,,6.86,0.32,,77.78,,,144.0,Moderate
52.53,138.44,20.09,30.35,45.8,26.65,1.11,11.5,47.06,1.82,9.36,138.0,Moderate
52.63,148.36,5.23,43.03,26.79,22.61,0.46,14.89,25.52,3.68,29.56,120.0,Moderate
96.77,,12.99,21.29,33.46,,0.77,7.59,15.83,0.78,4.37,128.0,Moderate
84.45,,5.48,30.12,13.37,,0.95,18.06,34.36,,,186.0,Moderate
67.06,100.34,3.22,20.25,13.29,18.78,0.06,4.7,54.92,0.15,6.52,138.0,Moderate
76.63,,19.61,23.74,33.94,21.44,0.91,9.2,25.37,0.0,5.14,143.0,Moderate
17.28,,1.07,5.11,2.7,5.96,7.52,3.69,8.37,,1.35,185.0,Moderate
63.29,90.92,4.3,10.2,17.98,21.26,0.54,19.66,43.86,1.22,,148.0,Moderate
38.91,,16.2,2.82,13.15,20.57,2.3,0.56,22.04,0.0,0.0,104.0,Moderate
10.87,31.4,30.83,20.73,74.79,,1.45,24.73,30.8,1.04,,125.0,Moderate
54.41,113.18,5.94,33.99,33.19,49.37,0.88,13.6,56.63,1.25,7.93,123.0,Moderate
57.58,109.26,8.88,42.84,29.99,15.71,0.74,21.15,53.74,6.36,33.38,123.0,Moderate
22.87,39.16,7.53,14.85,22.38,20.91,0.73,6.61,59.16,1.56,0.86,101.0,Moderate
70.07,,6.68,47.45,6.95,,1.27,6.92,53.55,0.98,1.18,175.0,Moderate
61.69,168.63,17.36,27.81,41.56,23.17,1.19,16.71,49.32,2.17,5.08,174.0,Moderate
67.76,120.06,16.21,41.27,52.49,32.53,1.87,10.43,59.25,2.66,10.79,172.0,Moderate
48.46,124.35,18.39,47.46,56.52,47.18,0.91,13.05,37.9,5.34,16.76,126.0,Moderate
103.93,170.12,37.45,46.48,72.84,50.89,1.21,10.25,38.83,1.73,4.16,189.0,Moderate
63.35,103.32,8.28,38.09,12.26,33.57,0.49,42.96,75.33,0.05,0.85,104.0,Moderate
87.78,189.99,39.85,44.52,84.15,22.07,1.24,11.77,40.14,4.65,,196.0,Moderate
74.62,158.19,4.89,35.11,22.74,21.45,0.9,7.48,55.42,,,153.0,Moderate
44.67,76.1,5.16,19.05,24.25,18.77,0.54,9.83,66.03,3.51,6.43,110.0,Moderate
35.56,40.81,4.02,31.15,24.31,24.81,0.57,4.93,22.48,1.41,7.61,162.0,Moderate
54.21,243.06,7.44,15.66,,18.0,0.82,6.17,14.87,1.58,3.69,189.0,Moderate
84.64,125.0,4.02,26.98,17.58,14.41,0.18,9.84,112.41,0.31,3.53,168.0,Moderate
73.39,,21.66,20.79,21.36,,1.22,35.46,70.82,1.62,12.78,200.0,Moderate
29.0,141.24,30.31,5.03,35.34,7.85,1.55,33.42,2.51,0.0,,109.0,Moderate
57.22,120.42,21.19,29.0,50.18,22.26,0.76,10.5,35.14,1.99,,183.0,Moderate
44.05,152.49,13.1,16.37,29.47,5.81,,6.46,34.83,0.88,2.8,143.0,Moderate
43.45,95.71,18.09,17.41,35.08,11.63,1.0,,31.28,3.96,2.19,106.0,Moderate
131.88,173.4,2.71,41.56,22.26,,0.45,20.08,34.26,10.84,43.9,152.0,Moderate
55.47,103.58,23.55,56.26,44.97,14.51,1.31,6.47,55.26,11.25,15.29,108.0,Moderate
13.0,23.51,3.75,5.59,9.34,7.3,2.0,11.95,7.14,0.36,,101.0,Moderate
58.44,128.56,8.23,47.2,31.47,12.06,0.68,6.19,26.5,3.78,34.82,105.0,Moderate
58.12,178.24,0.77,5.66,3.52,2.87,0.65,5.76,58.6,,,116.0,Moderate
58.21,113.1,12.65,29.28,40.04,42.08,2.23,7.97,37.35,3.0,8.64,164.0,Moderate
58.78,179.79,17.97,41.96,6.73,23.24,1.18,9.87,22.16,1.38,2.0,127.0,Moderate
61.41,96.56,5.45,10.43,14.54,10.28,0.68,4.48,49.34,0.37,4.66,122.0,Moderate
46.89,,2.96,16.17,18.49,,2.96,41.96,10.74,3.41,8.87,129.0,Moderate
65.82,183.77,37.41,61.45,66.06,29.84,1.3,20.59,54.43,4.44,30.24,175.0,Moderate
67.45,,13.47,20.34,21.15,17.44,1.1,4.37,39.57,0.56,1.81,124.0,Moderate
45.36,74.62,4.27,16.05,20.32,7.52,3.17,12.69,23.72,0.0,,116.0,Moderate
36.16,183.73,26.5,6.77,33.27,7.65,1.57,25.53,8.6,0.0,,136.0,Moderate
37.09,84.83,27.67,6.67,33.62,7.62,2.77,40.82,4.57,0.0,,112.0,Moderate
51.35,105.52,17.37,45.87,50.21,24.95,1.09,5.76,41.42,0.53,1.66,106.0,Moderate
56.72,152.93,79.32,56.85,136.18,,2.75,21.46,57.58,3.33,,150.0,Moderate
26.96,,9.51,17.1,19.35,23.47,1.92,14.6,28.95,,,106.0,Moderate
20.5,,6.77,11.42,18.19,,0.66,6.17,9.19,0.14,0.92,126.0,Moderate
39.53,,9.92,23.78,24.3,31.87,0.99,5.61,14.19,0.35,0.26,109.0,Moderate
59.04,,8.62,20.82,21.08,30.02,0.93,4.6,40.71,0.8,2.74,144.0,Moderate
26.65,88.62,68.61,15.49,50.14,13.32,1.28,9.79,34.75,0.62,3.6,131.0,Moderate
45.7,73.79,12.92,18.43,25.9,32.11,3.03,16.22,10.34,0.0,,131.0,Moderate
57.9,,3.91,15.31,24.31,40.34,0.51,10.0,19.91,0.0,0.0,107.0,Moderate
46.36,102.88,5.39,37.62,35.68,14.39,1.05,8.97,47.97,0.65,4.32,111.0,Moderate
67.67,,10.71,69.19,24.41,,0.81,27.72,77.92,2.47,36.39,125.0,Moderate
82.65,,1.03,20.96,9.65,,1.28,3.79,23.97,,,197.0,Moderate
,106.91,11.06,86.29,25.14,54.55,0.55,37.97,40.26,0.1,3.39,111.0,Moderate
42.65,142.17,5.45,25.51,16.91,22.67,0.86,4.7,35.06,1.53,1.93,107.0,Moderate
67.0,90.64,1.94,16.88,10.52,9.93,1.4,5.21,48.75,,,106.0,Moderate
77.16,,3.53,17.68,15.59,49.23,2.32,11.67,33.71,0.94,0.13,172.0,Moderate
54.18,127.55,16.08,16.45,26.96,46.7,0.85,4.43,34.02,0.0,,116.0,Moderate
52.63,110.43,8.36,51.15,48.35,45.78,0.88,19.16,72.92,2.72,12.27,123.0,Moderate
44.97,,5.64,15.24,6.24,,1.54,5.54,33.51,0.65,1.37,109.0,Moderate
62.22,147.66,18.31,44.38,38.49,10.56,1.03,3.05,28.63,5.87,15.27,138.0,Moderate
25.49,,3.05,9.44,4.57,,9.61,8.63,29.08,0.08,0.17,165.0,Moderate
,240.43,9.07,9.8,,6.95,0.38,,36.6,,,184.0,Moderate
,103.55,7.98,9.76,,,0.36,5.62,14.69,,,103.0,Moderate
43.42,107.2,17.25,47.61,53.47,14.17,1.19,9.86,37.97,0.81,2.12,112.0,Moderate
58.12,,5.17,15.31,16.68,57.06,1.9,9.94,45.84,,,118.0,Moderate
27.19,82.36,3.52,16.13,9.85,,0.28,20.59,51.81,1.78,9.02,110.0,Moderate
44.31,107.47,3.41,22.51,14.74,10.49,0.61,7.37,128.93,3.12,5.67,182.0,Moderate
43.63,174.8,11.89,16.39,20.89,6.36,1.2,27.3,6.13,0.0,,164.0,Moderate
53.72,112.19,14.37,17.95,32.32,10.73,0.76,,28.67,4.41,2.18,114.0,Moderate
42.58,94.73,14.49,46.1,49.44,30.49,0.85,14.24,43.67,2.52,5.85,106.0,Moderate
50.31,79.04,2.63,6.35,5.46,4.75,4.85,34.23,61.71,,,139.0,Moderate
56.72,,12.87,68.97,25.27,,1.87,44.59,83.38,1.59,18.45,182.0,Moderate
32.78,,6.08,12.1,20.94,,6.08,12.29,13.13,2.6,10.38,174.0,Moderate
57.24,,13.04,66.15,28.66,,0.98,39.17,98.82,6.53,58.98,136.0,Moderate
70.44,,10.13,32.94,25.58,41.18,0.92,7.24,14.85,0.68,0.7,179.0,Moderate
90.31,,9.45,36.14,26.69,41.19,0.89,8.89,18.51,0.86,0.99,186.0,Moderate
61.99,126.25,11.77,40.34,30.94,10.89,0.91,10.41,90.05,3.29,6.23,122.0,Moderate
57.52,187.98,7.82,36.3,40.04,,1.84,5.7,21.75,0.0,,137.0,Moderate
28.89,57.42,5.87,10.42,9.17,34.73,2.02,9.01,4.42,1.2,,104.0,Moderate
21.02,104.95,13.31,15.27,22.27,6.49,0.73,24.02,6.36,0.0,,114.0,Moderate
42.96,96.02,13.65,16.8,23.56,,0.1,,23.55,1.37,,122.0,Moderate
72.49,136.34,18.48,36.15,35.48,,0.0,1.87,47.61,,,172.0,Moderate
38.35,,19.68,26.7,28.09,36.67,0.91,9.93,67.47,0.11,0.32,125.0,Moderate
43.52,105.3,9.33,30.44,8.9,15.11,0.14,10.83,55.87,0.08,0.92,123.0,Moderate
47.98,125.65,2.34,40.73,22.98,11.01,0.89,6.59,19.82,4.43,8.04,106.0,Moderate
60.7,173.24,13.82,36.11,33.16,33.7,1.03,3.61,40.0,4.06,1.47,155.0,Moderate
67.14,166.85,30.58,61.48,102.14,12.93,0.63,4.55,19.32,11.45,8.25,145.0,Moderate
31.78,84.76,9.48,41.89,0.0,30.12,0.79,8.94,29.59,2.27,2.41,102.0,Moderate
49.28,,10.95,18.84,29.79,27.61,0.83,6.23,22.41,0.02,1.22,109.0,Moderate
23.82,62.12,19.5,34.3,31.25,12.06,1.05,38.43,24.1,6.23,12.61,105.0,Moderate
43.88,90.8,9.09,33.09,30.96,19.14,1.09,5.07,66.47,1.49,5.16,149.0,Moderate
17.95,82.85,71.43,15.13,44.36,8.18,0.44,10.27,49.34,1.65,3.61,129.0,Moderate
47.0,,17.67,24.8,17.15,,1.89,49.11,67.37,1.49,8.92,107.0,Moderate
81.64,,8.79,19.92,,,1.38,6.69,49.63,0.99,4.59,111.0,Moderate
83.77,,15.05,35.81,31.14,30.11,1.06,9.31,30.34,5.64,6.55,178.0,Moderate
70.49,118.77,0.03,12.24,0.06,6.96,2.78,4.29,6.41,0.0,,155.0,Moderate
38.92,,4.79,8.42,8.86,9.01,1.02,4.66,36.68,5.0,1.37,135.0,Moderate
44.26,146.23,10.47,26.16,20.93,25.75,1.51,3.9,42.53,1.22,0.35,117.0,Moderate
47.42,93.06,5.81,28.12,23.65,14.79,0.84,6.92,64.14,0.98,3.78,120.0,Moderate
49.0,,3.26,8.32,4.22,,1.24,6.7,33.49,0.07,0.13,105.0,Moderate
60.92,155.57,8.26,32.52,10.17,23.64,0.17,16.51,53.34,0.13,1.05,165.0,Moderate
75.89,108.14,4.98,8.95,8.82,5.75,1.81,8.86,44.08,,,183.0,Moderate
53.32,107.32,17.93,45.44,38.74,12.2,0.64,7.69,11.07,5.74,17.27,107.0,Moderate
65.12,98.55,5.36,2.69,5.31,10.32,1.37,6.6,36.69,2.36,12.1,111.0,Moderate
73.73,141.13,10.37,39.62,28.11,13.24,0.72,14.5,31.39,0.59,5.07,130.0,Moderate
60.55,148.34,9.42,41.27,11.22,24.64,0.19,14.86,63.64,0.1,1.74,137.0,Moderate
46.03,95.57,4.18,20.92,13.28,11.64,1.02,33.88,84.98,4.67,6.39,113.0,Moderate
76.06,,9.15,15.99,15.54,0.04,1.06,8.27,55.98,0.64,0.72,198.0,Moderate
67.36,168.37,10.71,25.6,31.37,11.54,0.67,8.65,94.99,0.45,15.21,171.0,Moderate
54.38,152.36,13.28,34.29,39.19,24.32,0.91,13.62,38.75,0.9,6.98,130.0,Moderate
76.0,182.48,32.6,46.88,101.06,45.56,1.04,6.84,60.99,2.08,6.36,192.0,Moderate
87.7,,6.53,19.56,18.2,58.39,2.46,11.85,26.06,,2.62,196.0,Moderate
23.91,81.0,3.29,18.6,11.52,,0.57,,44.9,5.47,15.33,126.0,Moderate
27.67,63.92,9.54,16.09,13.2,15.53,0.79,9.79,64.29,5.71,2.69,105.0,Moderate
93.9,,73.61,26.56,70.92,,0.6,8.45,22.57,3.49,,152.0,Moderate
77.82,,4.47,28.84,21.65,34.2,0.47,7.39,7.48,0.0,0.0,151.0,Moderate
45.19,79.82,10.74,35.06,37.49,13.94,0.93,7.78,55.92,0.75,12.19,111.0,Moderate
,32.95,8.47,9.4,,6.22,1.4,4.37,6.13,,,102.0,Moderate
,74.76,15.25,4.73,5.43,14.01,2.22,,73.88,0.0,,143.0,Moderate
71.4,148.06,,10.58,,8.19,0.51,4.23,,,,156.0,Moderate
79.09,,5.06,15.07,13.79,19.48,1.18,6.0,44.3,15.04,4.57,183.0,Moderate
92.83,,8.28,19.12,27.38,20.68,0.82,7.28,13.47,0.03,0.2,174.0,Moderate
83.44,,9.83,13.42,14.13,,1.42,8.68,59.12,2.9,0.84,179.0,Moderate
24.13,50.67,10.13,18.9,29.04,3.43,2.12,,53.81,0.0,,118.0,Moderate
51.08,100.21,8.07,36.07,25.3,22.73,0.68,16.76,48.8,4.42,21.49,104.0,Moderate
51.56,,6.67,20.34,21.72,121.14,0.77,3.83,23.03,,,113.0,Moderate
78.74,221.21,16.47,41.79,45.65,43.11,1.11,9.25,54.41,2.59,3.61,194.0,Moderate
44.28,98.5,8.09,33.16,30.1,18.13,0.95,4.52,50.9,0.53,1.93,116.0,Moderate
38.33,54.22,2.85,6.46,5.28,28.31,0.41,18.47,34.72,0.05,,109.0,Moderate
